"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"str_cfgvehicles_femalefeetabove0","Bare feet above female","Bare feet above female","Bare feet above female","Bare feet above female","Bare feet above female","Bare feet above female","Bare feet above female","Bare feet above female","Bare feet above female","Bare feet above female","Bare feet above female","Bare feet above female",
"str_cfgvehicles_combatboots_grey0","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are grey coloured.",
"str_cfgvehicles_combatboots_green0","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are green coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are green coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are green coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are green coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are green coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are green coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are green coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are green coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are green coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are green coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are green coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are green coloured.",
"str_cfgvehicles_combatboots_colorbase1","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain.",
"str_cfgvehicles_combatboots_colorbase0","Combat Boots","Combat Boots","Combat Boots","Combat Boots","Combat Boots","Combat Boots","Combat Boots","Combat Boots","Combat Boots","Combat Boots","Combat Boots","Combat Boots",
"str_cfgvehicles_combatboots_brown0","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are brown coloured.",
"str_cfgvehicles_combatboots_black0","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are black coloured.",
"str_cfgvehicles_combatboots_beige0","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.","A leather and canvas boot, similar to a military boot, that provides ankle stability and protects the feet while on rough terrain. These are beige coloured.",
"str_cfgvehicles_ballerinas_yellow0","Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in yellow color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.",
"str_cfgvehicles_ballerinas_white0","Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in white color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.",
"str_cfgvehicles_ballerinas_red0","Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in red color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.",
"str_cfgvehicles_ballerinas_colorbase1","Lightweight elegant feminine shoes which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.",
"str_cfgvehicles_ballerinas_colorbase0","Ballerina shoes","Ballerina shoes","Ballerina shoes","Ballerina shoes","Ballerina shoes","Ballerina shoes","Ballerina shoes","Ballerina shoes","Ballerina shoes","Ballerina shoes","Ballerina shoes","Ballerina shoes",
"str_cfgvehicles_ballerinas_blue0","Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.","Lightweight elegant feminine shoes in blue color which provide both comfort and style. These can be paired with any outfit and will add the touch of the femininity.",
"str_cfgvehicles_athleticshoes_grey0","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are grey coloured.",
"str_cfgvehicles_athleticshoes_green0","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are green coloured.",
"str_cfgvehicles_athleticshoes_colorbase1","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities.",
"str_cfgvehicles_athleticshoes_colorbase0","Athletic Shoes","Athletic Shoes","Athletic Shoes","Athletic Shoes","Athletic Shoes","Athletic Shoes","Athletic Shoes","Athletic Shoes","Athletic Shoes","Athletic Shoes","Athletic Shoes","Athletic Shoes",
"str_cfgvehicles_athleticshoes_brown0","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are brown coloured.",
"str_cfgvehicles_athleticshoes_blue0","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are blue coloured.",
"str_cfgvehicles_athleticshoes_black0","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.","An all-terrain shoe with a durable rubber outsole and a lightweight synthetic fabric/mesh upper. Designed to protect the feet during everyday activities. These are black coloured.",
"str_cfgvehicles_athleticshoesabove0","AthleticShoesAbove male model only so far","AthleticShoesAbove male model only so far","AthleticShoesAbove male model only so far","AthleticShoesAbove male model only so far","AthleticShoesAbove male model only so far","AthleticShoesAbove male model only so far","AthleticShoesAbove male model only so far","AthleticShoesAbove male model only so far","AthleticShoesAbove male model only so far","AthleticShoesAbove male model only so far","AthleticShoesAbove male model only so far","AthleticShoesAbove male model only so far",
"str_maletorso_baseabove0","Underwear top above","Underwear top above","Underwear top above","Underwear top above","Underwear top above","Underwear top above","Underwear top above","Underwear top above","Underwear top above","Underwear top above","Underwear top above","Underwear top above",
"str_maletorso_base0","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top",
"str_femaletorso_baseabove0","Underwear top above female","Underwear top above female","Underwear top above female","Underwear top above female","Underwear top above female","Underwear top above female","Underwear top above female","Underwear top above female","Underwear top above female","Underwear top above female","Underwear top above female","Underwear top above female",
"str_femaletorso_base0","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top","Underwear top",
"str_cfgvehicles_woolcoat_redcheck0","This red check coloured wool coat keeps you looking classy while staying warm.","This red check coloured wool coat keeps you looking classy while staying warm.","This red check coloured wool coat keeps you looking classy while staying warm.","This red check coloured wool coat keeps you looking classy while staying warm.","This red check coloured wool coat keeps you looking classy while staying warm.","This red check coloured wool coat keeps you looking classy while staying warm.","This red check coloured wool coat keeps you looking classy while staying warm.","This red check coloured wool coat keeps you looking classy while staying warm.","This red check coloured wool coat keeps you looking classy while staying warm.","This red check coloured wool coat keeps you looking classy while staying warm.","This red check coloured wool coat keeps you looking classy while staying warm.","This red check coloured wool coat keeps you looking classy while staying warm.",
"str_cfgvehicles_woolcoat_red0","This red coloured wool coat keeps you looking classy while staying warm.","This red coloured wool coat keeps you looking classy while staying warm.","This red coloured wool coat keeps you looking classy while staying warm.","This red coloured wool coat keeps you looking classy while staying warm.","This red coloured wool coat keeps you looking classy while staying warm.","This red coloured wool coat keeps you looking classy while staying warm.","This red coloured wool coat keeps you looking classy while staying warm.","This red coloured wool coat keeps you looking classy while staying warm.","This red coloured wool coat keeps you looking classy while staying warm.","This red coloured wool coat keeps you looking classy while staying warm.","This red coloured wool coat keeps you looking classy while staying warm.","This red coloured wool coat keeps you looking classy while staying warm.",
"str_cfgvehicles_woolcoat_greycheck0","This grey check coloured wool coat keeps you looking classy while staying warm.","This grey check coloured wool coat keeps you looking classy while staying warm.","This grey check coloured wool coat keeps you looking classy while staying warm.","This grey check coloured wool coat keeps you looking classy while staying warm.","This grey check coloured wool coat keeps you looking classy while staying warm.","This grey check coloured wool coat keeps you looking classy while staying warm.","This grey check coloured wool coat keeps you looking classy while staying warm.","This grey check coloured wool coat keeps you looking classy while staying warm.","This grey check coloured wool coat keeps you looking classy while staying warm.","This grey check coloured wool coat keeps you looking classy while staying warm.","This grey check coloured wool coat keeps you looking classy while staying warm.","This grey check coloured wool coat keeps you looking classy while staying warm.",
"str_cfgvehicles_woolcoat_green0","This green coloured wool coat keeps you looking classy while staying warm.","This green coloured wool coat keeps you looking classy while staying warm.","This green coloured wool coat keeps you looking classy while staying warm.","This green coloured wool coat keeps you looking classy while staying warm.","This green coloured wool coat keeps you looking classy while staying warm.","This green coloured wool coat keeps you looking classy while staying warm.","This green coloured wool coat keeps you looking classy while staying warm.","This green coloured wool coat keeps you looking classy while staying warm.","This green coloured wool coat keeps you looking classy while staying warm.","This green coloured wool coat keeps you looking classy while staying warm.","This green coloured wool coat keeps you looking classy while staying warm.","This green coloured wool coat keeps you looking classy while staying warm.",
"str_cfgvehicles_woolcoat_colorbase1","Keeps you looking classy while staying warm.","Keeps you looking classy while staying warm.","Keeps you looking classy while staying warm.","Keeps you looking classy while staying warm.","Keeps you looking classy while staying warm.","Keeps you looking classy while staying warm.","Keeps you looking classy while staying warm.","Keeps you looking classy while staying warm.","Keeps you looking classy while staying warm.","Keeps you looking classy while staying warm.","Keeps you looking classy while staying warm.","Keeps you looking classy while staying warm.",
"str_cfgvehicles_woolcoat_colorbase0","Wool Coat","Wool Coat","Wool Coat","Wool Coat","Wool Coat","Wool Coat","Wool Coat","Wool Coat","Wool Coat","Wool Coat","Wool Coat","Wool Coat",
